股票代码,股票名称,排名,题材,详情,市场表现
300024,机器人,1,公司主营：从事工业机器人、物流与仓储自动化成套装备、自动化装配与检测生产线及系统集成、交通自动化系统等产品的设计、制造和销售。,"特斯拉概念,军工",
300033,同花顺,2,公司主营：为国内资本市场提供金融资讯、数据分析和软件系统服务。业务内容主要包括网上行情交易系统的开发和维护、金融资讯及数据服务、手机金融信息服务等。,"机器人概念,AI智能体",
000409,云鼎科技,3,公司主营：铁矿石开采、加工和铁精粉的销售,"煤化工概念,军民融合",5连板
002261,拓维信息,4,公司主营：提供行业软件开发及无线增值服务。,"华为盘古,机器人概念",
603300,海南华铁,5,公司主营：建筑安全支护设备租赁,"股权转让(并购重组),低空经济",3连板
603048,浙江黎明,6,公司主营：股权投资。,"新能源汽车,比亚迪概念",4连板
300059,东方财富,7,公司主营：证券业务、 金融电子商务服务业务、 金融数据服务业务及互联网广告服务业务等,"同花顺漂亮100,融资融券",
300515,三德科技,8,公司主营：实验分析仪器及燃料智能化管控相关整体解决方案的研发、生产和销售,"固废处理,专精特新",首板
000681,视觉中国,9,公司主营：智能控制人机交互软件的技术开发;机电一体化、动态仿真、机械结构以及多媒体产品的技术开发及系统集成;动漫设计;计算机软硬件的技术开发和销售。,"小米概念,AI智能体",2天1板
600588,用友网络,10,公司主营：电子计算机软件、硬件及外部设备的技术开发、技术咨询、技术转让、技术服务;企业管理咨询;数据库服务;销售电子计算机软硬件及外部设备。,"同花顺漂亮100,机器人概念",2连板
002195,岩山科技,11,"公司主营：互联网信息服务,互联网金融服务","机器人概念,AI智能体",3天2板
001333,光华股份,12,公司主营：粉末涂料用聚酯树脂的研发、生产和销售,"节能环保,长三角一体化",2连板
605208,永茂泰,13,公司主营：从事汽车用铝合金和汽车用铝合金零部件的研发、生产和销售。,"一体化压铸,减速器",10天6板
601177,杭齿前进,14,公司主营：各类齿轮传动装置、粉末冶金制品和大型精密齿轮的设计、制造和销售,"减速器,军工",18天11板
605100,华丰股份,15,公司主营：柴油发动机、核心零部件和智能化发电机组的研发、制造与销售，以及通信基站发电机组等电源设施的综合运维服务。,"农机,汽车电子",11天8板
002757,南兴股份,16,公司主营：板式家具生产线成套设备的研发、设计、生产和销售.,"工业母机,专精特新",2连板
300248,新开普,17,"公司主营：智能一卡通系统的软件及各种智能终端的研发、生产、集成、销售和服务,为客户提供身份识别、小额支付、资源管控、信息集成等多种功能为一体的智能一卡通系统整体解决方案及个性化定制服务。","无人零售,华为盘古",2连板
605069,正和生态,18,公司主营：生态保护、生态修复、水环境治理、生态景观建设等。,"AI智能体,污水处理",2连板
600590,泰豪科技,19,公司主营：聚焦军工装备、智能电力两大产业,"国产航母,军工",18天9板
600126,杭钢股份,20,"公司主营：钢铁及压延产品、焦炭及其副产品的生产、销售;冶金、焦化的技术开发、协作、咨询、服务与培训,经营进出口业务(国家法律法规限制或禁止的项目除外),建筑施工,起重机械、压力容器管道特种设备制作、安装、检修(凭有效许可证件经营)。","特钢概念,汽车拆解概念",21天11板
